,0,1
0,113.0,59.0
1,113.0,71.0
2,114.5,83.5
3,117.0,95.5
4,121.0,106.5
5,128.0,116.5
6,136.0,125.5
7,146.0,133.0
8,157.0,135.0
9,168.0,133.5
10,178.5,127.5
11,187.5,120.0
12,196.0,110.5
13,201.0,100.0
14,204.5,88.0
15,207.0,76.5
16,209.0,63.5
17,122.0,54.0
18,128.0,48.0
19,137.0,47.0
20,146.0,48.5
21,154.0,52.5
22,167.5,53.0
23,175.5,49.5
24,185.0,49.0
25,193.5,50.5
26,199.5,56.5
27,160.0,62.5
28,159.5,71.0
29,159.0,80.0
30,159.0,88.0
31,149.0,91.0
32,153.5,93.0
33,158.5,95.0
34,164.0,93.5
35,169.0,92.0
36,130.5,63.0
37,136.5,61.0
38,142.5,61.5
39,147.5,65.5
40,141.5,66.0
41,135.5,65.5
42,173.0,66.5
43,178.5,63.5
44,185.0,63.0
45,190.0,65.5
46,185.0,67.5
47,179.0,67.5
48,140.0,103.0
49,146.0,100.0
50,153.0,99.0
51,158.5,100.0
52,164.0,99.5
53,171.5,101.5
54,178.0,105.5
55,171.0,115.5
56,164.0,120.5
57,157.5,120.5
58,151.5,119.5
59,145.0,113.5
60,142.0,103.5
61,152.5,103.0
62,158.5,104.0
63,164.0,103.5
64,175.5,106.5
65,163.5,112.5
66,158.0,113.0
67,152.0,111.5
68,0.0,0.0
69,158.0,0.0
70,317.0,0.0
71,317.0,100.0
72,317.0,201.0
73,158.0,201.0
74,0.0,201.0
75,0.0,100.0
